year,total_population,working_age_population,elderly_population,elderly_dependency,total_subscribers,total_income_nominal,total_income_real
2023,51948137.47228382,35398137.47228381,9500000.0,26.837570218032948,20518499.33481153,85912211175.1663,85912211175.1663
2024,51846016.72447754,35154291.996455744,9846139.33915504,28.008356248926102,20444783.394072276,87470092638.59001,85754992782.93138
2025,51746416.33293051,34904483.158922866,10186950.008914273,29.185219453135247,20370066.20464166,89054227826.66946,85596143624.24977
2026,51648769.53235459,34648685.17902235,10522521.816251049,30.36918071171656,20294333.3899824,90664954514.26163,85435611599.48062
2027,51552502.369457625,34386872.32522205,10852941.276533306,31.561292268424484,20217570.753073502,92302611547.84023,85273345488.7743
2028,51457033.89126395,34119018.92265788,11178291.926053153,32.762641714266394,19907870.865580432,92743635867.4748,84000768420.81877
2029,51350910.77834146,33845099.35918901,11487789.080097444,33.94225249032542,19599023.578941837,93173598719.54773,82735489238.2584
2030,51234845.5930759,33565094.44499784,11782810.790869374,35.1043576241906,19291000.245401382,93591905187.31825,81477385696.68826
2031,51106158.54857492,33278706.20903931,12064496.646820685,36.252901693466896,18983613.38546331,93997152513.71646,80225664589.74538
2032,50965475.643814996,32985922.075102367,12333956.719205758,37.39157781044834,18676842.030717123,94388692385.69926,78980235392.56834
2033,50813307.65107501,32314320.49004033,12964598.75327063,40.12028895135356,18318527.74751381,94537055352.72044,77553312633.80765
2034,50655630.087889425,31639349.683566935,13581860.621279653,42.92711688803735,17877248.958457116,94030359288.77943,75625142528.62766
2035,50492910.58741326,30960970.746740937,14186572.837714955,45.820826981687205,17434074.270083796,93457376963.08698,73690503943.15637
2036,50325527.0529634,30279144.435002353,14779485.171301063,48.810775360667535,16988974.182108797,92815320914.74767,71749261892.84305
2037,50153775.868545525,29593831.228466537,15361274.778413571,51.90701622856266,16541919.055151876,92101307732.97685,69801280862.74344
2038,49972379.06114967,28904991.383012116,15927053.300662419,55.101394391084234,16092879.140336893,91312355188.3013,67846424934.851425
2039,49766142.533693835,28212587.828474052,16462542.466515137,58.3517632859614,15641826.186831497,90445388415.72192,65884564561.19053
2040,49537591.8571628,27516590.963633478,16970454.232365094,61.67353454064718,15188736.05399634,89497252985.87146,63915587525.962555
2041,49283805.99294001,26816806.771991283,17453123.730791315,65.08278140341514,14733494.174209053,88464146367.64267,61939001427.63608
2042,49006990.41889426,26075886.772066884,17912739.876667373,68.69465277727748,14264510.958476637,87292134852.76869,59920006448.9504
2043,48709118.91346531,25344798.706249066,18351272.550602827,72.40646399798827,13797574.300024733,86045171497.53116,57905933770.20497
2044,48391955.57929264,24622897.963014554,18770494.502397627,76.23186568287909,13549632.27251539,86293267005.71187,56934210720.67006
2045,48056666.106392145,23909533.403361294,19171592.535901137,80.18388402847677,13300144.207007768,86498997633.07547,55950928248.4059
2046,47704868.23907536,23204650.967849758,19555651.80230923,84.2747078135489,13049319.642253038,86661974958.71927,54957204259.4349
2047,47337509.56388154,22507621.20569196,19923665.360734046,88.51964043048469,12796984.676151386,86779288156.67818,53952548155.0437
2048,46955445.71497092,21817808.420161232,20276543.19585752,92.93574682377597,12542963.2626653,86847877384.37631,52936462305.63212
2049,46553091.18416843,21480543.10544157,20259876.847684354,94.31733987467015,12335034.315960003,87154312567.75723,52081611774.2341
2050,46132035.10025881,21141489.248568054,20229096.794599567,95.68435107271223,12123533.139710201,87408476183.03185,51209308515.37267
2051,45693645.66005232,20800349.887033235,20185712.50225617,97.04506227964835,11908417.740568755,87607563148.05345,50319554913.3574
2052,45239242.93959442,20462244.589483272,20130974.52482704,98.38106683161001,11677859.997082971,87632443207.0422,49346907241.289276
2053,44770023.47468937,20126887.48216103,20066016.57506032,99.69756423016393,11450125.068009766,87646628841.69923,48387152300.729256
2054,44292214.78514995,19793983.21924223,19997019.13721822,101.02574563051367,11224910.014240809,87647600298.96004,47438910405.88513
2055,43806616.13789284,19463224.824701723,19924740.434609827,102.3712186138978,11001905.736209635,87632602610.81662,46500777419.23957
2056,43316500.70215388,19134295.98877879,19849856.964720305,103.7396775735107,10769271.983230755,87430808983.38664,45484018627.53683
2057,42822561.018816724,18806349.778444204,19772970.6346106,105.1398642881477,10537397.234904226,87189380415.85196,44469039755.60656
2058,42305467.9080078,18479258.093756054,19674662.06645157,106.46889591903816,10306023.711551143,86904373534.3574,43454586488.869576
2059,41768243.52883005,18148030.779855,19557853.268601656,107.76845987230533,10072372.229991341,86551555599.48506,42429576253.86765
2060,41213602.184887074,17812737.27150508,19425160.47936024,109.05207988687143,9836308.396157525,86126347937.65167,41393264327.774284
