year,total_population,working_age_population,elderly_population,elderly_dependency,total_subscribers,total_income_nominal,total_income_real
2023,51948137.47228382,35398137.47228381,9500000.0,26.837570218032948,20518499.33481153,85912211175.1663,85912211175.1663
2024,51846414.038170695,35154291.996455744,9846139.339155031,28.008356248926074,20444783.394072276,87641602624.15587,85754992782.93138
2025,51747325.96754199,34904482.93284723,10186949.942933597,29.18521945313523,20370066.072705153,89403801898.1643,85596143069.8453
2026,51650312.29248498,34648684.43379548,10522521.589931754,30.36918071171656,20294332.95349015,91199322229.95828,85435609761.92422
2027,51554804.59321261,34386870.69718521,10852940.762703843,31.56129226842449,20217569.795878295,93028681220.79271,85273341451.5317
2028,51460227.187182106,34119015.97429049,11178290.960090106,32.76264171426638,19907869.145257894,93656451796.16902,84000761161.96042
2029,51355131.76464731,33845094.57614577,11487787.456624836,33.94225249032544,19599020.80917668,94275132783.23462,82735477545.94757
2030,51240235.63597769,33565087.2324251,11782808.258942047,35.104357624190605,19290996.10009076,94884060758.00044,81477368188.57214
2031,51112850.3950587,33278695.91785872,12064492.915969102,36.252901693466896,18983607.514928788,95463061508.53104,80225639780.58371
2032,50973604.201077014,32985907.99082957,12333951.452873932,37.39157781044833,18676834.056110937,96011065975.6436,78980201669.72202
2033,50823009.804611064,32314302.045738243,12964591.353363339,40.120288951353565,18318517.291701816,96293952220.95561,77553268368.08568
2034,50667044.51691331,31639326.16163339,13581850.523991732,42.927116888037304,17877235.667809024,95890502863.64337,75625086305.93039
2035,50506177.585095726,30960941.40096157,14186559.39123617,45.820826981687226,17434057.745521273,95399603526.1662,73690434096.98495
2036,50340788.3452473,30279108.49606734,14779467.629228227,48.81077536066753,16988954.017548323,94818490810.69504,71749176732.17853
2037,50171174.43334647,29593787.909911044,15361252.293043938,51.907016228562654,16541894.841590842,94144388014.90407,69801178689.73866
2038,49992058.95774854,28904939.887584902,15927024.925963962,55.10139439108418,16092850.47021291,93374507601.51509,67846304063.66375
2039,49788154.22849583,28212527.352679078,16462507.177822413,58.351763285961425,15641792.657405585,92506063090.3942,65884423332.692024
2040,49561988.006349325,27516520.745518222,16970410.92637152,61.67353454064715,15188697.294674,91536288317.66498,63915424423.19674
2041,49310599.028618164,26816726.173294336,17453071.27491755,65.08278140341508,14733449.892261462,90479603158.05237,61938815268.15601
2042,49036194.9800172,26076191.93954056,17912677.081753936,68.69360803634865,14264583.892324425,89281394889.27156,59920165211.91604
2043,48740751.948613614,25345604.333450135,18351198.169490196,72.40386904198218,13797799.965751603,88006709067.10634,57906543836.27798
2044,48426036.44539867,24624324.705313236,18770407.22795182,76.22709435723813,13550047.05337843,88261342056.5371,56935379343.79716
2045,48093216.665597826,23911707.61654742,19171491.00070046,80.17616854529189,13300787.02849588,88472863712.99545,55952771707.39708
2046,47743912.07793505,23207704.444008633,19555534.57626217,84.26311453354741,13050231.116894698,88640897039.58475,54959843915.08745
2047,47379072.059580214,22511690.916611034,19923530.948922515,88.50304058777408,12798207.02538956,88762485903.77927,53956110218.96036
2048,46999554.096065074,21823036.25896742,20276390.03572506,92.91278168221521,12544540.237315029,88834522505.31544,52941077602.878494
2049,46599774.64214518,21487059.640280902,20259706.296329267,94.28794183802252,12337006.659597099,89150105711.89555,52087401888.331955
2050,46181324.794771224,21149429.732985135,20228907.801090643,95.64753308473928,12125942.654350385,89412528014.96788,51216398426.32663
2051,45745570.35014939,20809851.61275144,20185503.851297542,96.9997490944562,11911306.834691728,89618939080.05208,50328071340.757095
2052,45293833.37256124,20473446.752727337,20130744.95694847,98.32611577367541,11681414.491360458,89648871282.62248,49357726100.81677
2053,44827312.42480703,20139931.05674393,20065764.78253381,99.63174514351037,11454429.953140162,89668681583.78363,48400620590.61623
2054,44352235.388283886,19809010.78588734,19996743.688695014,100.94771467811721,11230052.914051974,89675860444.54863,47455387781.18361
2055,43869402.00977702,19480380.406274058,19924439.830515295,102.27952131827065,11007976.768266872,89667660157.6651,46520635576.37393
2056,43381930.36269033,19153724.882419575,19849529.632149108,103.63273856130294,10776363.807776885,89469436788.30296,45507642121.0431
2057,42890516.65861508,18828104.055949338,19772614.99560973,105.01649521828485,10545575.355213517,89231601698.55087,44496735221.67039
2058,42375835.81207173,18503392.189332128,19674276.92594553,106.32794638211507,10315356.16749191,88950191576.67262,43486672214.27543
2059,41840913.73693089,18174559.213585693,19557437.43854471,107.60886802649551,10082911.71424176,88600360854.47052,42466317850.719055
2060,41288468.528763935,17841676.9267132,19424712.774029925,108.87268530766046,9848109.218565209,88177485547.69682,41434934244.28801
2061,40720646.21404269,17504677.92635562,19278304.142665766,110.13229848485082,9610740.205991838,87676026459.52646,40391467373.08116
2062,40139641.69287994,17163613.724021237,19120304.93780098,111.40022867702544,9372665.161967903,87113977588.13846,39345624594.68295
2063,39547424.89337133,16818523.684881847,18952586.246005572,112.68876270657474,9133795.262739973,86487913522.41878,38296920070.273796
2064,38945915.084398724,16469544.496239524,18776819.186333362,114.00934124571967,8894121.372878905,85795055021.8189,37245217401.679436
2065,38336646.15683379,16116600.462384243,18594494.959206093,115.37479633254665,8653491.60709381,85031111817.1019,36189779952.924774
2066,37720984.69059851,15759609.625422953,18406943.078196134,116.79821718745227,8496208.912139371,85159133542.96202,35533594912.35902
2067,37100153.107661024,15398579.593864873,18215347.70484919,118.29238920261567,8342291.321696557,85299215954.11719,34894162603.197426
2068,36475244.416845754,15033514.822321745,18020762.358913314,119.87058629932707,8191663.744810158,85451652158.07423,34271099149.8538
2069,35847235.30216638,14664043.546422776,17824123.167515762,121.54985158826723,8042366.016850337,85592291649.81895,33654415483.559807
2070,35216998.130274564,14290182.332035007,17626260.797859874,123.34524772539966,7894397.451540805,85720916311.51802,33044107832.199116
2071,34585657.774668254,14047853.888310274,17292279.319177512,123.09552374805834,7766836.345579517,86019154017.64993,32508896006.061714
