year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp
2023,10019599005.764967,10019599005.764967,2651540206.87046,2651540206.87046,7368058798.894506,7368058798.894506,98868058798.8945,98868058798.8945,37.28702983372285,2100000000000000.0,2100000000000000.0
2024,10370518928.731867,10147278795.23666,2997322726.0750914,2932801101.8347273,7373196202.656775,7214477693.401933,106241255001.55127,103954261253.96407,35.44538400129878,2186977799999999.8,2139899999999999.8
2025,10725409676.829039,10268620368.36279,3375747364.126118,3231976137.62022,7349662312.702921,7036644230.742569,113590917314.2542,108753142522.29254,33.64911679155219,2277558046520399.5,2180558099999999.5
2026,11083392632.935268,10382932511.691284,3788970190.182892,3549510792.983636,7294422442.7523775,6833421718.707648,120885339757.00658,113245498550.69643,31.90453703494867,2371889945691181.0,2221988703899999.2
2027,11443489545.276287,10489502576.90284,4239251528.6739926,3885846153.677902,7204238016.602295,6603656423.224937,128089577773.60887,117411384946.41127,30.215139844196592,2470128883461818.5,2264206489274099.0
2028,11693382522.670506,10487830935.556177,4721734191.661465,4234937994.098137,6971648331.009042,6252892941.45804,135061226104.61792,121136831245.18727,28.604156994507377,2572436681557039.5,2307226412570306.5
2029,11936499969.13386,10475424388.361115,5239637470.962562,4598284781.252735,6696862498.171298,5877139607.108379,141758088602.7892,124406328692.41881,27.054942138343623,2678981864033769.0,2351063714409142.0
2030,12171408078.172668,10451642661.963306,5794875127.6877575,4976085241.436124,6376532950.484911,5475557420.527183,148134621553.27414,127203863381.79803,25.56303945972725,2789939934878319.5,2395733924982915.5
2031,12434367172.170689,10449644562.93846,6313832302.136961,5306044326.485249,6120534870.033729,5143600236.453211,154255156423.30786,129633582015.46869,24.43130400709235,2903214620967106.5,2439815429202601.0
2032,12691386388.142147,10440132564.0746,6862376320.034495,5645097887.230453,5829010068.107651,4795034676.844148,160084166491.41553,131687734378.75165,23.327803522528306,3018717504990680.0,2483244143842407.5
2033,12920103857.711761,10405599299.95898,7665109606.189099,6173329566.9030485,5254994251.522661,4232269733.055932,165339160742.9382,133160930765.70882,21.570358316786116,3136351130222557.5,2525955943116497.0
2034,13074635218.430012,10311453035.326778,8508714604.526819,6710490164.33766,4565920613.903192,3600962870.9891186,169905081356.8414,133997487318.41255,19.968360587208817,3256008947634718.0,2567886811772230.5
2035,13205112368.752579,10200152063.377743,9408669249.39748,7267628958.991299,3796443119.3550987,2932523104.386444,173701524476.1965,134173940654.25182,18.461858937949184,3377575297703607.5,2608973000760586.0
2036,13308341228.56351,10070425279.460762,10367333755.083323,7844964157.044473,2941007473.48019,2225461122.4162893,176642531949.6767,133665450007.85109,17.038376126655045,3500925428399838.0,2649151184972299.0
2037,13380890107.90939,9920951435.81025,11387092197.992348,8442696097.219967,1993797909.9170425,1478255338.5902824,178636329859.59375,132445774452.6909,15.687616008860369,3625925550709803.0,2688358622509889.0
2038,13419080346.113077,9750359373.27234,12466041440.670525,9057877356.241522,953038905.4425524,692482017.0308189,179589368765.03632,130490379363.8467,14.406286840915278,3752432932877891.5,2726533314949529.5
2039,13419100261.62252,9557316059.56088,13593637389.851383,9681624430.91883,-174537128.22886196,-124308371.35795021,179414831636.80746,127782356364.81801,13.198441777677061,3880296034384485.0,2763614168032843.5
2040,13377255508.49014,9340699510.072779,14771467713.848593,10314211397.863508,-1394212205.3584511,-973511887.7907295,178020619431.449,124303308077.7171,12.051654099649864,4009354680488112.5,2799541152217270.0
2041,13344203641.12398,9134922517.116226,15932707257.092503,10906911359.843147,-2588503615.9685245,-1771988842.726921,175432115815.48047,120093999468.76044,11.010816491176428,4140252092096688.0,2834255462504764.0
2042,13263201720.74361,8901442896.715145,17146266282.27098,11507516315.97369,-3883064561.52737,-2606073419.258545,171549051253.9531,115133141746.19286,10.00503832320233,4272889208119097.5,2867699676962320.5
2043,13134945698.555162,8642515064.397509,18409433247.263252,12113015753.387877,-5274487548.708091,-3470500688.990368,166274563705.245,109405128473.9438,9.032030561286474,4407160478595033.0,2899817913344299.0
2044,13098541147.654476,8449570238.965204,19768251934.39287,12752048593.680416,-6669710786.738394,-4302478354.715212,159604852918.5066,102957451521.70027,8.073796987624663,4542953907261503.0,2930555983225748.5
2045,13009658721.980938,8227680600.726664,21187752560.051144,13399741256.608877,-8178093838.070206,-5172060655.882214,151426759080.4364,95766617306.56905,7.146900486554997,4680151115260800.0,2959861543058006.0
2046,12861810632.083094,7974683564.957869,22670149776.174778,14056129110.175995,-9808339144.091682,-6081445545.218126,141618419936.34473,87807394951.4182,6.246911526150514,4818627426459137.0,2987684241562751.5
2047,12647588268.58791,7688097732.680827,24217721810.8426,14721242357.885654,-11570133542.254692,-7033144625.204827,130048286394.09003,79052536699.71498,5.369963674116764,4958251974768217.0,3013975862888503.5
2048,12358800761.116856,7365247335.388691,25832815185.07693,15395108059.844007,-13474014423.960073,-8029860724.455317,116574271970.12996,69472626236.04956,4.512642975027841,5098887833780542.0,3038690464964189.0
2049,12013067618.704834,7018830499.083668,27028383277.44795,15791773334.671999,-15015315658.743114,-8772942835.588331,101558956311.38684,59337475042.89163,3.7574928277758297,5240392168943620.0,3061784512497917.0
2050,11592004019.659597,6640016892.611277,28249332132.466114,16181502546.620905,-16657328112.806517,-9541485654.009628,84901628198.58032,48632509486.08021,3.005438422418681,5382616412408749.0,3083217004085402.0
2051,11088017549.820087,6226792506.173772,29302533465.84258,16455673430.99807,-18214515916.02249,-10228880924.824299,66687112282.55783,37450049943.88178,2.2758138766497362,5527053541219325.0,3103874558012774.0
2052,10489117631.541296,5774963897.367191,30361700202.566807,16716155609.244026,-19872582571.02551,-10941191711.876835,46814529711.53232,25774543527.222954,1.5418942087958096,5673675217560791.0,3123739355184055.5
2053,9802540361.88859,5291134301.296279,31437892670.74011,16969286137.02498,-21635352308.85152,-11678151835.728703,25179177402.680798,13591008485.078115,0.8009181043523179,5822450329115670.0,3142794165250678.0
2054,9019640715.592422,4773085484.583278,32540222312.99628,17219894637.130676,-23520581597.40386,-12446809152.547398,1658595805.2769394,877708970.0782053,0.050970635336271525,5973344951845031.0,3161022371409132.0
2055,8130582805.167603,4218241883.8371,33670077368.40801,17468431721.424004,-25539494563.240406,-13250189837.586903,0.0,0.0,0.0,6126322316061783.0,3178407994451882.5
2056,8048069304.020032,4093561676.4783144,34799339806.922516,17700300335.28768,-26751270502.902485,-13606738658.809368,0.0,0.0,0.0,6281342775947411.0,3194935716023032.5
2057,8025845629.481476,4002213578.00459,35953997450.40254,17929023734.39247,-27928151820.921066,-13926810156.387882,0.0,0.0,0.0,6438363782660543.0,3210590901031545.0
2058,7999610539.573676,3910912783.9982615,37097232051.283714,18136387810.705532,-29097621511.71004,-14225475026.707272,0.0,0.0,0.0,6597339861181997.0,3225359619176290.0
2059,7967133393.0784025,3818661862.8480887,38231141666.29869,18324257352.22037,-30264008273.22029,-14505595489.372282,0.0,0.0,0.0,6758222591036781.0,3239228665538748.0
2060,7927992719.775405,3725393789.4996853,39357055940.89921,18494029568.101227,-31429063221.123806,-14768635778.601542,0.0,0.0,0.0,6920960591028947.0,3252185580200903.0
2061,7881684429.464322,3631013086.850941,39798062621.650085,18334568898.78883,-31916378192.185764,-14703555811.93789,0.0,0.0,0.0,7086205446100355.0,3264543885405666.5
2062,7829822313.148336,3536392871.792754,40215571380.594734,18163638238.199387,-32385749067.446392,-14627245366.406631,0.0,0.0,0.0,7253950101420443.0,3276296243393127.0
2063,7772092157.041504,3441488873.9322677,40611828416.63203,17982951414.087185,-32839736259.590527,-14541462540.154917,0.0,0.0,0.0,7424185802400579.0,3287435650620664.0
2064,7708238775.188412,3346288767.959124,40988868575.7163,17794024617.88939,-33280629800.527885,-14447735849.930265,0.0,0.0,0.0,7596902060907626.0,3297955444702650.5
2065,7637870175.8411045,3250725940.9620333,41348508710.25948,17598187294.37008,-33710638534.41838,-14347461353.408047,0.0,0.0,0.0,7772086622432155.0,3307849311036758.0
2066,7647657894.119433,3191070250.8598185,41752329319.05407,17421623435.402966,-34104671424.93464,-14230553184.543148,0.0,0.0,0.0,7949725434274463.0,3317111289107660.5
2067,7658441108.121214,3132911437.984845,42149677005.55905,17242569778.078228,-34491235897.43784,-14109658340.093384,0.0,0.0,0.0,8129802614811648.0,3325735778459340.0
2068,7670241687.056091,3076214522.735862,42542483692.15837,17062018578.621893,-34872242005.10229,-13985804055.886032,0.0,0.0,0.0,8312300423908941.0,3333717544327642.5
2069,7680900509.4458,3020087580.904511,42930393416.09974,16879993151.82674,-35249492906.653946,-13859905570.92223,0.0,0.0,0.0,8497199234538371.0,3341051722925163.0
2070,7690394197.342543,2964529849.4663877,43315043039.46834,16697289466.097525,-35624648842.12579,-13732759616.631138,0.0,0.0,0.0,8684477505667597.0,3347733826371013.5
2071,7715066011.758652,2915725939.419271,43342943177.02606,16380435827.693314,-35627877165.2674,-13464709888.274042,0.0,0.0,0.0,8875883389892511.0,3354429294023755.5
2072,7740199367.727739,2867867151.2773805,43335773044.521866,16056594163.165693,-35595573676.79413,-13188727011.888313,0.0,0.0,0.0,9071507859805742.0,3361138152611803.0
2073,7765840180.422902,2820948510.5751038,43293284344.74947,15726324924.649014,-35527444164.32657,-12905376414.07391,0.0,0.0,0.0,9271443893035860.0,3367860428917026.5
2074,7787127987.938301,2773216986.295911,43250000460.66987,15402550994.48944,-35462872472.73157,-12629334008.193531,0.0,0.0,0.0,9475786516438372.0,3374596149774860.5
2075,7811430244.565447,2727325204.5855594,43220014586.27031,15090070759.538347,-35408584341.704865,-12362745554.952787,0.0,0.0,0.0,9684632851260672.0,3381345342074410.0
2076,7838812555.494195,2683221189.631971,43204865321.46325,14789001434.214937,-35366052765.969055,-12105780244.582966,0.0,0.0,0.0,9898082159302458.0,3388108032758559.0
2077,7869383570.105002,2640868265.6625524,43201273570.219574,14497815666.427979,-35331890000.11458,-11856947400.765427,0.0,0.0,0.0,1.0116235890093484e+16,3394884248824076.0
2078,7903251954.745637,2600229488.900256,43206105142.57514,14215134394.746078,-35302853187.8295,-11614904905.845821,0.0,0.0,0.0,1.0339197729111144e+16,3401674017321724.0
2079,7940333726.001918,2561205560.063579,43216138337.15321,13939642540.6071,-35275804611.1513,-11378436980.54352,0.0,0.0,0.0,1.0567073647060754e+16,3408477365356367.5
2080,7980735661.326891,2523762218.996824,43228472978.48221,13670216821.826122,-35247737317.15531,-11146454602.829298,0.0,0.0,0.0,1.0799971950241974e+16,3415294320087080.0
2081,8024102995.162591,2487721909.837517,43239152556.50601,13405484356.62836,-35215049561.34342,-10917762446.790844,0.0,0.0,0.0,1.1038003332025306e+16,3422124908727254.0
2082,8070555043.868975,2453062247.151516,43245466704.23794,13144550920.720572,-35174911660.368965,-10691488673.569056,0.0,0.0,0.0,1.1281280925463144e+16,3428969158544708.5
2083,8120212468.666804,2419760515.9550023,43244776071.96532,12886608825.081358,-35124563603.29851,-10466848309.126356,0.0,0.0,0.0,1.1529920357060352e+16,3435827096861798.0
2084,8206626898.728157,2397560144.9073844,43258773160.65969,12638019460.06105,-35052146261.931526,-10240459315.153666,0.0,0.0,0.0,1.1784039801729962e+16,3442698751055521.5
2085,8288779421.768828,2374079358.251086,43257592872.9243,12389877097.890406,-34968813451.15547,-10015797739.63932,0.0,0.0,0.0,1.204376003896009e+16,3449584148557632.5
2086,8366921069.983961,2349471329.9979157,43239145998.39992,12141758360.943811,-34872224928.415955,-9792287030.945896,0.0,0.0,0.0,1.2309204510218772e+16,3456483316854748.0
2087,8441336138.86146,2323889643.284666,43201384082.669044,11893288857.80144,-34760047943.80759,-9569399214.516773,0.0,0.0,0.0,1.2580499377623994e+16,3463396283488457.5
2088,8512344277.740757,2297488331.5215673,43142293326.979485,11644138474.63922,-34629949049.23873,-9346650143.117653,0.0,0.0,0.0,1.2857773583906828e+16,3470323076055434.5
2089,8586015222.759537,2271933506.664071,42933337458.09062,11360530513.082638,-34347322235.331085,-9088597006.418568,0.0,0.0,0.0,1.3141158913696134e+16,3477263722207545.5
2090,8655042996.532324,2245292989.7614465,42741373638.746635,11087975720.317278,-34086330642.214314,-8842682730.555832,0.0,0.0,0.0,1.3430790056153996e+16,3484218249651960.5
2091,8721592241.407398,2218193341.3844104,42564333342.52255,10825537148.204733,-33842741101.11515,-8607343806.820322,0.0,0.0,0.0,1.3726804668991632e+16,3491186686151264.5
2092,8786334407.393822,2190842593.1325283,42400301481.5358,10572370927.43006,-33613967074.141975,-8381528334.297531,0.0,0.0,0.0,1.4029343443896208e+16,3498169059523567.0
2093,8849747332.925964,2163386657.236718,42247751535.50124,10327777566.044561,-33398004202.57528,-8164390908.807843,0.0,0.0,0.0,1.433855017339968e+16,3505165397642614.0
