year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp
2023,10019599005.764967,10019599005.764967,2651540206.87046,2651540206.87046,7368058798.894506,7368058798.894506,98868058798.8945,98868058798.8945,37.28702983372285,2100000000000000.0,2100000000000000.0
2024,10185492236.174028,9966235064.749538,2997322726.0750914,2932801101.8347273,7188169510.098937,7033433962.914811,106056228308.99344,103773217523.47694,35.38365334715593,2186977799999999.8,2139899999999999.8
2025,10353681984.95078,9912724354.753908,3375747364.126118,3231976137.62022,6977934620.824663,6680748217.133688,113034162929.8181,108220100001.35771,33.484189051297484,2277558046520399.5,2180558099999999.5
2026,10524180628.729298,9859062186.810398,3788970190.182892,3549510792.983636,6735210438.546407,6309551393.826762,119769373368.3645,112200060201.41747,31.61000677141334,2371889945691181.0,2221988703899999.2
2027,10696999769.15389,9805243951.132544,4239251528.6739926,3885846153.677902,6457748240.4798975,5919397797.454641,126227121608.8444,115704192515.08426,29.77580376041696,2470128883461818.5,2264206489274099.0
2028,10760914774.360075,9651497729.30226,4721734191.661465,4234937994.098137,6039180582.698611,5416559735.204123,132266302191.54301,118630055346.83255,28.01222957978532,2572436681557039.5,2307226412570306.5
2029,10823213111.111942,9498408317.157543,5239637470.962562,4598284781.252735,5583575640.149381,4900123535.904808,137849877831.69238,120976498630.65288,26.30904878355416,2678981864033769.0,2351063714409142.0
2030,10883796364.03766,9345964712.701942,5794875127.6877575,4976085241.436124,5088921236.349902,4369879471.265819,142938799068.0423,122742187329.0475,24.66641574122703,2789939934878319.5,2395733924982915.5
2031,10965235690.153996,9215009813.077084,6313832302.136961,5306044326.485249,4651403388.017035,3908965486.591835,147590202456.05933,124032460621.69409,23.37569251025346,2903214620967106.5,2439815429202601.0
2032,11043579853.543674,9084621185.33115,6862376320.034495,5645097887.230453,4181203533.50918,3439523298.1006975,151771405989.5685,124849527822.0769,22.116450470149324,3018717504990680.0,2483244143842407.5
2033,11097733909.539955,8937898137.042688,7665109606.189099,6173329566.9030485,3432624303.350856,2764568570.13964,155204030292.91937,124998294654.02147,20.248116239277486,3136351130222557.5,2525955943116497.0
2034,11089764039.681652,8746062827.576488,8508714604.526819,6710490164.33766,2581049435.1548324,2035572663.2388287,157785079728.07422,124438916429.41731,18.543938428035787,3256008947634718.0,2567886811772230.5
2035,11073545509.114609,8553645354.884073,9408669249.39748,7267628958.991299,1664876259.717129,1286016395.8927746,159449955987.79135,123165464416.86958,16.947131603972828,3377575297703607.5,2608973000760586.0
2036,11048804926.661167,8360633570.355874,10367333755.083323,7844964157.044473,681471171.5778458,515669413.31140137,160131427159.3692,121171492705.69934,15.445767536986391,3500925428399838.0,2649151184972299.0
2037,11015267502.00096,8167015277.64691,11387092197.992348,8442696097.219967,-371824695.9913884,-275680819.5730572,159759602463.3778,118450061592.43883,14.02988574129091,3625925550709803.0,2688358622509889.0
2038,10972657288.210854,7972778244.136628,12466041440.670525,9057877356.241522,-1493384152.4596717,-1085099112.1048937,158266218310.91812,114996889904.3973,12.695787918253966,3752432932877891.5,2726533314949529.5
2039,10920698273.626894,7777910810.507148,13593637389.851383,9681624430.91883,-2672939116.2244887,-1903713620.411683,155593279194.69363,110816233355.08067,11.446037196111696,3880296034384485.0,2763614168032843.5
