 year ,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance, nominal_reserve_fund , real_reserve_fund ,fund_ratio,nominal_gdp,real_gdp
" 2,023 ",10129290084,10129290084,2651540207,2651540207,7477749877,7477749877," 96,527,749,877 "," 96,527,749,877 ",36.40440738,2.1E+15,2.1E+15
" 2,024 ",10522767294,10316438523,2991457124,2932801102,7531310170,7383637421," 104,059,060,047 "," 102,018,686,321 ",34.78540916,2.18698E+15,2.1399E+15
" 2,025 ",10872134175,10449955955,3362547974,3231976138,7509586202,7217979817," 111,568,646,249 "," 107,236,299,739 ",33.17979316,2.27756E+15,2.18056E+15
" 2,026 ",11223297795,10575964179,3766769250,3549510793,7456528545,7026453386," 119,025,174,794 "," 112,160,080,582 ",31.59874335,2.37189E+15,2.22199E+15
" 2,027 ",11575428289,10693906479,4206164846,3885846154,7369263443,6808060325," 126,394,438,237 "," 116,768,923,641 ",30.04980615,2.47013E+15,2.26421E+15
" 2,028 ",11817465713,10703442791,4675713742,4234937994,7141751971,6468504796," 133,536,190,208 "," 120,947,841,699 ",28.55953071,2.57244E+15,2.30723E+15
" 2,029 ",12052260596,10702062499,5178415514,4598284781,6873845082,6103777718," 140,410,035,290 "," 124,680,093,109 ",27.11447834,2.67898E+15,2.35106E+15
" 2,030 ",12278650216,10689303925,5715957798,4976085241,6562692418,5713218684," 146,972,727,708 "," 127,948,604,085 ",25.71270344,2.78994E+15,2.39573E+15
" 2,031 ",12495320884,10664636059,6216876611,5306044326,6278444273,5358591733," 153,251,171,981 "," 130,798,399,659 ",24.65083056,2.90321E+15,2.43982E+15
" 2,032 ",12702952995,10629262811,6746414534,5645097887,5956538461,4984164923," 159,207,710,442 "," 133,217,890,079 ",23.59886272,3.01872E+15,2.48324E+15
" 2,033 ",12879860295,10565971496,7525254295,6173329567,5354606000,4392641929," 164,562,316,442 "," 134,998,416,517 ",21.86800738,3.13635E+15,2.52596E+15
" 2,034 ",12981284421,10440367260,8343651067,6710490164,4637633354,3729877095," 169,199,949,796 "," 136,081,265,837 ",20.27888612,3.25601E+15,2.56789E+15
" 2,035 ",13057056148,10295399666,9217110793,7267628959,3839945355,3027770707," 173,039,895,151 "," 136,440,776,430 ",18.77376751,3.37758E+15,2.60897E+15
" 2,036 ",13104708323,10130365766,10148297649,7844964157,2956410674,2285401609," 175,996,305,825 "," 136,050,868,696 ",17.34244618,3.50093E+15,2.64915E+15
