year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp
2023,10129290084.196342,10129290084.196342,2651540206.87046,2651540206.87046,7477749877.325882,7477749877.325882,96527749877.32588,96527749877.32588,36.40440738074077,2100000000000000.0,2100000000000000.0
2024,10522767293.604717,10316438523.14188,2991457123.871422,2932801101.8347273,7531310169.733296,7383637421.307153,104059060047.05917,102018686320.64624,34.78540916287317,2186977799999999.8,2139899999999999.8
2025,10872134175.172407,10449955954.606312,3362547973.580077,3231976137.62022,7509586201.59233,7217979816.986092,111568646248.6515,107236299739.1883,33.17979315842007,2277558046520399.5,2180558099999999.5
2026,11223297794.979023,10575964179.48133,3766769249.600578,3549510792.983636,7456528545.378446,7026453386.497695,119025174794.02995,112160080581.78035,31.598743354574,2371889945691181.0,2221988703899999.2
2027,11575428288.800098,10693906478.905891,4206164845.5532637,3885846153.677902,7369263443.246835,6808060325.227989,126394438237.2768,116768923640.69891,30.049806148444315,2470128883461818.5,2264206489274099.0
2028,11817465713.191881,10703442790.546547,4675713742.026068,4234937994.098137,7141751971.165813,6468504796.44841,133536190208.44261,120947841699.0944,28.5595307104021,2572436681557039.5,2307226412570306.5
2029,12052260595.502718,10702062499.456726,5178415513.720413,4598284781.252735,6873845081.782305,6103777718.203991,140410035290.2249,124680093109.473,27.114478341531896,2678981864033769.0,2351063714409142.0
2030,12278650215.857645,10689303925.054802,5715957797.838782,4976085241.436124,6562692418.018862,5713218683.618678,146972727708.24377,127948604085.0628,25.71270343595163,2789939934878319.5,2395733924982915.5
2031,12495320883.647446,10664636059.12381,6216876611.14029,5306044326.485249,6278444272.507155,5358591732.638561,153251171980.75092,130798399659.1707,24.650830564359843,2903214620967106.5,2439815429202601.0
2032,12702952994.9604,10629262810.66597,6746414534.174623,5645097887.230453,5956538460.785777,4984164923.435517,159207710441.53668,133217890079.48521,23.598862719605275,3018717504990680.0,2483244143842407.5
2033,12879860295.04856,10565971495.6726,7525254294.843468,6173329566.9030485,5354606000.205091,4392641928.769551,164562316441.74176,134998416516.50014,21.868007378103467,3136351130222557.5,2525955943116497.0
2034,12981284420.847498,10440367259.64518,8343651067.072455,6710490164.33766,4637633353.775043,3729877095.30752,169199949795.5168,136081265836.97433,20.27888611776333,3256008947634718.0,2567886811772230.5
2035,13057056148.163134,10295399666.013138,9217110793.16585,7267628958.991299,3839945354.9972844,3027770707.021839,173039895150.5141,136440776429.5457,18.773767510619145,3377575297703607.5,2608973000760586.0
2036,13104708323.370111,10130365765.652414,10148297649.225107,7844964157.044473,2956410674.145005,2285401608.6079416,175996305824.65912,136050868696.39787,17.34244618239963,3500925428399838.0,2649151184972299.0
2037,13121624261.301414,9944551309.672104,11139958203.275541,8442696097.219967,1981666058.0258732,1501855212.452137,177977971882.685,134885059816.76376,15.976538568192579,3625925550709803.0,2688358622509889.0
2038,13105031118.901888,9737231158.302025,12190710346.18854,9057877356.241522,914320772.713349,679353802.060503,178892292655.39835,132919608524.37791,14.674476513284523,3752432932877891.5,2726533314949529.5
2039,13052109529.146908,9507754546.64673,13290795620.821407,9681624430.91883,-238686091.67449862,-173869884.27210045,178653606563.72385,130139471806.29448,13.441904582735775,3880296034384485.0,2763614168032843.5
2040,12960223497.755167,9255706423.275099,14442386005.595083,10314211397.863508,-1482162507.839916,-1058504974.5884094,177171444055.88394,126529212482.56303,12.267463560885748,4009354680488112.5,2799541152217270.0
2041,12826546683.974308,8980626909.218836,15577755222.343004,10906911359.843147,-2751208538.368696,-1926284450.6243114,174420235517.51526,122121963081.30023,11.196750303750198,4140252092096688.0,2834255462504764.0
2042,12645522963.589123,8680275935.588228,16764278337.156406,11507516315.97369,-4118755373.5672846,-2827240380.385462,170301480143.94797,116900174405.203,10.158592974830963,4272889208119097.5,2867699676962320.5
2043,12420203476.570333,8358440891.100867,17999304216.191505,12113015753.387877,-5579100739.621172,-3754574862.2870092,164722379404.32678,110853439260.46101,9.151597052076527,4407160478595033.0,2899817913344299.0
2044,12289341124.198078,8108210077.814955,19327850869.192234,12752048593.680416,-7038509744.994157,-4643838515.865461,157683869659.3326,104036003896.35121,8.158375741126704,4542953907261503.0,2930555983225748.5
2045,12114593480.082754,7836191968.81341,20715727576.374176,13399741256.608877,-8601134096.291422,-5563549287.795467,149082735563.0412,96432532963.52925,7.196596644429072,4680151115260800.0,2959861543058006.0
2046,11893091499.374723,7542074354.047758,22165099651.215816,14056129110.175995,-10272008151.841095,-6514054756.128237,138810727411.2001,88027644227.72397,6.262580795732446,4818627426459137.0,2987684241562751.5
2047,11621600887.357773,7225398995.91947,23678194566.975796,14721242357.885654,-12056593679.618023,-7495843361.966185,126754133731.58208,78805768625.99849,5.353200953436175,4958251974768217.0,3013975862888503.5
2048,11296723968.595652,6885701994.695782,25257306568.41237,15395108059.844007,-13960582599.816715,-8509406065.148226,112793551131.76537,68751151411.32088,4.465779073720741,5098887833780542.0,3038690464964189.0
2049,10940973458.074167,6538099094.437982,26426239556.012993,15791773334.671999,-15485266097.938824,-9253674240.234016,97308285033.82654,58149415378.70802,3.6822600062930686,5240392168943620.0,3061784512497917.0
2050,10538653746.931679,6174197224.686057,27619987868.560837,16181502546.620905,-17081334121.629162,-10007305321.934849,80226950912.19737,47001925441.50439,2.9046700271551447,5382616412408749.0,3083217004085402.0
2051,10087552301.47193,5794033342.959842,28649725772.260815,16455673430.99807,-18562173470.788883,-10661640088.038227,61664777441.40849,35418678972.260185,2.152368854473066,5527053541219325.0,3103874558012774.0
2052,9580111347.619995,5394678599.971252,29685296180.861214,16716155609.244026,-20105184833.24122,-11321477009.272774,41559592608.167274,23402718061.57055,1.4000059947174013,5673675217560791.0,3123739355184055.5
2053,9029339889.58799,4984835699.746618,30737513018.264668,16969286137.02498,-21708173128.676678,-11984450437.278362,19851419479.490597,10959390799.555508,0.6458368791155811,5822450329115670.0,3142794165250678.0
2054,8433364302.9742565,4564524439.053383,31815284740.566,17219894637.130676,-23381920437.591747,-12655370198.077293,0.0,0.0,0.0,5973344951845031.0,3161022371409132.0
2055,7886934234.9734955,4185069967.731561,32919968659.37056,17468431721.424004,-25033034424.397064,-13283361753.692442,0.0,0.0,0.0,6126322316061783.0,3178407994451882.5
2056,7868772808.504798,4093561676.4783144,34024073163.715504,17700300335.28768,-26155300355.21071,-13606738658.809368,0.0,0.0,0.0,6281342775947411.0,3194935716023032.5
