year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp
2023,10318215770.47085,10318215770.47085,2651540206.87046,2651540206.87046,7666675563.6003895,7666675563.6003895,96716675563.60039,96716675563.60039,36.475658680564536,210000000000.0,210000000000.0
2024,10737249701.018072,10526715393.154972,2991457123.871422,2932801101.8347273,7745792577.146649,7593914291.320245,104462468140.74704,102414184451.71278,34.92026253933266,218697779999.99997,213989999999.99997
2025,11109267735.665459,10677881329.936043,3362547973.580077,3231976137.62022,7746719762.0853815,7445905192.315823,112209187902.83243,107851968380.26955,33.370286099848336,227755804652.03992,218055809999.99994
2026,11483706470.341248,10821353090.384966,3766769249.600578,3549510792.983636,7716937220.74067,7271842297.40133,119926125123.5731,113009066199.62639,31.837927193519985,237188994569.1181,222198870389.9999
2027,11859686717.716103,10956517328.269424,4206164845.5532637,3885846153.677902,7653521872.162838,7070671174.591522,127579646995.73595,117863873331.08797,30.331585109083992,247012888346.18182,226420648927.40988
2028,12126091531.38042,10982974702.788874,4675713742.026068,4234937994.098137,7450377789.354353,6748036708.690737,135030024785.0903,122300853699.95345,28.879018741335404,257243668155.70392,230722641257.03064
2029,12385483278.94324,10997954706.247198,5178415513.720413,4598284781.252735,7207067765.222826,6399669924.994463,142237092550.31314,126302467670.04688,27.467300021300037,267898186403.3769,235106371440.9142
2030,12636618622.38402,11000936964.97854,5715957797.838782,4976085241.436124,6920660824.545237,6024851723.542417,149157753374.85837,129850800419.6668,26.094971070509878,278993993487.832,239573392498.29156
2031,12878094696.704536,10991329822.91176,6216876611.14029,5306044326.485249,6661218085.564246,5685285496.426512,155818971460.4226,132989991790.21747,25.063867470234786,290321462096.7107,243981542920.26013
2032,13110651887.313572,10970407005.732937,6746414534.174623,5645097887.230453,6364237353.138949,5325309118.502484,162183208813.56155,135707654010.87256,24.03991156962067,301871750499.06805,248324414384.24078
2033,13312525993.220161,10920908065.58197,7525254294.843468,6173329566.9030485,5787271698.376693,4747578498.678922,167970480511.93823,137794298117.1814,22.320904242005042,313635113022.2558,252595594311.64975
2034,13438353909.714783,10807971355.838398,8343651067.072455,6710490164.33766,5094702842.642326,4097481191.500738,173065183354.58057,139189930325.9923,20.742140576511922,325600894763.47186,256788681177.2231
2035,13537700788.007212,10674384684.410097,9217110793.16585,7267628958.991299,4320589994.841363,3406755725.4187984,177385773349.42194,139867471731.29364,19.245268645457426,337757529770.36084,260897300076.0587
2036,13607900260.483866,10519349499.399384,10148297649.225107,7844964157.044473,3459602611.2587585,2674385342.354911,180845375960.6807,139799357627.93692,17.820267222304963,350092542839.98395,264915118497.23
2037,13646119422.675201,10342053092.994701,11139958203.275541,8442696097.219967,2506161219.39966,1899356995.7747345,183351537180.08035,138957550748.65405,16.4589071013003,362592555070.9804,268835862250.98898
2038,13649351201.295458,10141668997.34901,12190710346.18854,9057877356.241522,1458640855.1069174,1083791641.1074886,184810178035.18726,137316684531.94476,15.159918723929708,375243293287.78925,272653331494.95303
2039,13614532051.17329,9917448878.35545,13290795620.821407,9681624430.91883,323736430.3518828,235824447.4366188,185133914465.53912,134860024968.95108,13.9294832113367,388029603438.4486,276361416803.2844
2040,13538789583.02663,9668896661.287874,14442386005.595083,10314211397.863508,-903596422.5684515,-645314736.575634,184230318042.97067,131570396017.29797,12.75622448891745,400935468048.8114,279954115221.7271
2041,13419043654.156717,9395469217.530777,15577755222.343004,10906911359.843147,-2158711568.1862864,-1511442142.3123703,182071606474.7844,127479142188.37192,11.68792318765165,414025209209.66895,283425546250.4765
2042,13249617263.745245,9094944845.017254,16764278337.156406,11507516315.97369,-3514661073.411162,-2412571470.956436,178556945401.37323,122566979694.11407,10.651036794445185,427288920811.90985,286769967696.2321
2043,13033279271.457281,8771023326.082218,17999304216.191505,12113015753.387877,-4966024944.734224,-3341992427.3056583,173590920456.639,116821713155.15912,9.644312822963627,440716047859.50336,289981791334.42993
2044,12908504276.28063,8516718952.195721,19327850869.192234,12752048593.680416,-6419346592.911606,-4235329641.4846954,167171573863.72742,110295761687.10268,8.649258264414268,454295390726.1504,293055598322.5749
2045,12736866147.968128,8238702221.469625,20715727576.374176,13399741256.608877,-7978861428.406049,-5161039035.139252,159192712435.32138,102972060658.09866,7.684630522795497,468015111526.08014,295986154305.80066
2046,12515184274.043823,7936578168.461101,22165099651.215816,14056129110.175995,-9649915377.171995,-6119550941.714894,149542797058.14938,94833449703.47987,6.74676854204653,481862742645.9138,298768424156.2752
2047,12239892668.557537,7609804282.107346,23678194566.975796,14721242357.885654,-11438301898.418259,-7111438075.778309,138104495159.73114,85862532221.75099,5.8325601966438265,495825197476.8218,301397586288.8504
2048,11907240320.215424,7257830557.970329,25257306568.41237,15395108059.844007,-13350066248.196945,-8137277501.873678,124754428911.5342,76041675656.70572,4.939340169689996,509888783378.05426,303869046496.41895
2049,11539363824.315615,6895684781.546693,26426239556.012993,15791773334.671999,-14886875731.697376,-8896088553.125305,109867553179.83682,65654573855.40972,4.157517491164864,524039216894.36206,306178451249.79175
2050,11121259516.765991,6515523831.819762,27619987868.560837,16181502546.620905,-16498728351.794847,-9665978714.801144,93368824828.04198,54701250555.20839,3.380480298266946,538261641240.87506,308321700408.5403
2051,10650452012.38107,6117348612.737835,28649725772.260815,16455673430.99807,-17999273759.879745,-10338324818.260235,75369551068.16223,43290352196.64994,2.6307250431393796,552705354121.9326,310387455801.27747
2052,10119516730.374899,5698424409.332863,29685296180.861214,16716155609.244026,-19565779450.486313,-11017731199.911163,55803771617.67592,31423790561.510353,1.879845539612769,567367521756.0793,312373935518.40564
2053,9541215918.611727,5267427554.13726,30737513018.264668,16969286137.02498,-21196297099.65294,-11701858582.88772,34607474518.02298,19105779222.514584,1.1259035334920795,582245032911.5673,314279416525.06793
2054,8913426637.07928,4824356242.538806,31815284740.566,17219894637.130676,-22901858103.48672,-12395538394.59187,11705616414.536259,6335617705.912625,0.3679243014792522,597334495184.5034,316102237140.9133
2055,8233678004.404888,4369063759.579153,32919968659.37056,17468431721.424004,-24686290654.96567,-13099367961.84485,0.0,0.0,0.0,612632231606.1785,317840799445.18835
2056,7868772808.504798,4093561676.4783144,34024073163.715504,17700300335.28768,-26155300355.21071,-13606738658.809368,0.0,0.0,0.0,628134277594.7412,319493571602.30334
2057,7847044237.426676,4002213578.00459,35153007113.57718,17929023734.39247,-27305962876.15051,-13926810156.387882,0.0,0.0,0.0,643836378266.0546,321059090103.1546
2058,7821393618.092165,3910912783.9982615,36270772505.66472,18136387810.705532,-28449378887.57255,-14225475026.707272,0.0,0.0,0.0,659733986118.1998,322535961917.6291
2059,7789640003.953655,3818661862.8480887,37379420655.7838,18324257352.22037,-29589780651.830143,-14505595489.372282,0.0,0.0,0.0,675822259103.6783,323922866553.8749
2060,7751371314.38865,3725393789.4996853,38480251587.279205,18494029568.101227,-30728880272.890556,-14768635778.601542,0.0,0.0,0.0,692096059102.8949,325218558020.0904
2061,7706094689.418959,3631013086.850941,38911433433.107506,18334568898.78883,-31205338743.68855,-14703555811.93789,0.0,0.0,0.0,708620544610.0358,326454388540.5668
2062,7655387967.689451,3536392871.792754,39319640848.52517,18163638238.199387,-31664252880.835716,-14627245366.406631,0.0,0.0,0.0,725395010142.0444,327629624339.3128
2063,7598943935.531667,3441488873.9322677,39707069991.16333,17982951414.087185,-32108126055.631664,-14541462540.154917,0.0,0.0,0.0,742418580240.058,328743565062.06647
2064,7536513092.073881,3346288767.959124,40075710374.27169,17794024617.88939,-32539197282.197815,-14447735849.930265,0.0,0.0,0.0,759690206090.7628,329795544470.26514
2065,7467712178.438597,3250725940.9620333,40427338374.061264,17598187294.37008,-32959626195.62267,-14347461353.408047,0.0,0.0,0.0,777208662243.2157,330784931103.6759
2066,7477281843.974076,3191070250.8598185,40822162586.67205,17421623435.402966,-33344880742.697975,-14230553184.543148,0.0,0.0,0.0,794972543427.4467,331711128910.7662
