contribution_rate,income_replacement,max_reserve,max_reserve_year,first_deficit_year,depletion_year
7.000000000000001,40.0,1456.9,2036,2037,2051
7.000000000000001,41.0,1433.9,2035,2036,2050
7.000000000000001,42.0,1413.7,2035,2036,2050
7.000000000000001,43.0,1393.4,2035,2036,2049
7.000000000000001,44.0,1373.2,2035,2036,2049
7.000000000000001,45.0,1355.2,2034,2035,2048
7.000000000000001,46.0,1337.7,2034,2035,2048
7.000000000000001,47.0,1320.3,2034,2035,2048
7.000000000000001,48.0,1302.9,2034,2035,2047
7.000000000000001,49.0,1287.9,2033,2034,2047
7.000000000000001,50.0,1273.0,2033,2034,2047
8.0,40.0,1617.9,2037,2038,2053
8.0,41.0,1591.0,2037,2038,2052
8.0,42.0,1564.8,2036,2037,2051
8.0,43.0,1541.4,2036,2037,2051
8.0,44.0,1518.0,2036,2037,2050
8.0,45.0,1494.6,2036,2037,2050
8.0,46.0,1474.1,2035,2036,2050
8.0,47.0,1453.8,2035,2036,2049
8.0,48.0,1433.6,2035,2036,2049
8.0,49.0,1413.8,2034,2035,2048
8.0,50.0,1396.4,2034,2035,2048
9.0,40.0,1795.9,2038,2039,2055
9.0,41.0,1765.1,2038,2039,2054
9.0,42.0,1734.4,2038,2039,2053
9.0,43.0,1705.7,2037,2038,2053
9.0,44.0,1678.8,2037,2038,2052
9.0,45.0,1651.9,2037,2038,2052
9.0,46.0,1626.0,2036,2037,2051
9.0,47.0,1602.6,2036,2037,2051
9.0,48.0,1579.2,2036,2037,2050
9.0,49.0,1555.8,2036,2037,2050
9.0,50.0,1534.5,2035,2036,2049
10.0,40.0,1992.0,2040,2041,2057
10.0,41.0,1956.1,2039,2040,2056
10.0,42.0,1921.1,2039,2040,2055
10.0,43.0,1886.2,2038,2039,2055
10.0,44.0,1855.4,2038,2039,2054
10.0,45.0,1824.6,2038,2039,2053
10.0,46.0,1793.8,2038,2039,2053
10.0,47.0,1766.6,2037,2038,2052
10.0,48.0,1739.7,2037,2038,2052
10.0,49.0,1712.8,2037,2038,2051
10.0,50.0,1687.2,2036,2037,2051
11.0,40.0,2208.4,2041,2042,2059
11.0,41.0,2164.1,2040,2041,2058
11.0,42.0,2124.3,2040,2041,2057
11.0,43.0,2084.6,2040,2041,2056
11.0,44.0,2048.0,2039,2040,2056
11.0,45.0,2012.9,2039,2040,2055
11.0,46.0,1977.9,2039,2040,2054
11.0,47.0,1945.6,2038,2039,2054
11.0,48.0,1914.9,2038,2039,2053
11.0,49.0,1884.1,2038,2039,2053
11.0,50.0,1854.4,2037,2038,2052
12.0,40.0,2443.6,2042,2043,2061
12.0,41.0,2393.1,2042,2043,2060
12.0,42.0,2345.6,2041,2042,2059
12.0,43.0,2300.8,2041,2042,2058
12.0,44.0,2256.6,2040,2041,2058
12.0,45.0,2216.9,2040,2041,2057
12.0,46.0,2177.2,2040,2041,2056
12.0,47.0,2139.8,2039,2040,2056
12.0,48.0,2104.8,2039,2040,2055
12.0,49.0,2069.8,2039,2040,2054
12.0,50.0,2035.9,2038,2039,2054
13.0,40.0,2699.1,2044,2045,2064
13.0,41.0,2641.7,2043,2044,2063
13.0,42.0,2585.4,2042,2043,2062
13.0,43.0,2534.9,2042,2043,2061
13.0,44.0,2484.3,2042,2043,2060
13.0,45.0,2438.0,2041,2042,2059
13.0,46.0,2393.1,2041,2042,2058
13.0,47.0,2349.2,2040,2041,2057
13.0,48.0,2309.5,2040,2041,2057
13.0,49.0,2269.7,2040,2041,2056
13.0,50.0,2231.7,2039,2040,2056
14.000000000000002,40.0,2980.9,2045,2046,2067
14.000000000000002,41.0,2911.5,2044,2045,2065
14.000000000000002,42.0,2848.1,2044,2045,2064
14.000000000000002,43.0,2787.3,2043,2044,2063
14.000000000000002,44.0,2730.7,2043,2044,2062
14.000000000000002,45.0,2676.6,2042,2043,2061
14.000000000000002,46.0,2626.1,2042,2043,2060
14.000000000000002,47.0,2575.6,2042,2043,2059
14.000000000000002,48.0,2530.4,2041,2042,2059
14.000000000000002,49.0,2485.5,2041,2042,2058
14.000000000000002,50.0,2441.8,2040,2041,2057
15.0,40.0,3286.0,2046,2047,2070
15.0,41.0,3207.5,2046,2047,2069
15.0,42.0,3132.9,2045,2046,2067
15.0,43.0,3062.3,2045,2046,2066
15.0,44.0,2997.2,2044,2045,2065
15.0,45.0,2933.8,2044,2045,2063
15.0,46.0,2876.3,2043,2044,2062
15.0,47.0,2819.6,2043,2044,2061
15.0,48.0,2767.8,2042,2043,2061
15.0,49.0,2717.3,2042,2043,2060
15.0,50.0,2667.7,2041,2042,2059
