year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp,simulation
2023,14935451478.4685,14935451478.4685,2651540206.87046,2651540206.87046,12283911271.59804,12283911271.59804,101333911271.59804,101333911271.59804,38.216999692868946,2100000000000000.0,2100000000000000.0,0
2024,5468863500.054908,5361630882.406773,2991457123.871422,2932801101.8347273,2477406376.1834865,2428829780.5720453,103811317647.78152,101775801615.47208,34.70259253237538,2186977799999999.8,2139899999999999.8,0
2025,7629892030.416744,7333614023.85308,3362547973.580077,3231976137.62022,4267344056.836667,4101637886.2328596,108078661704.6182,103881835548.46039,32.141894347323685,2277558046520399.5,2180558099999999.5,0
2026,12566095178.659645,11841312144.894918,3766769249.600578,3549510792.983636,8799325929.059069,8291801351.911283,116877987633.67726,110136738164.12737,31.02870919052735,2371889945691181.0,2221988703899999.2,0
2027,12541394932.664906,11586310344.534576,4206164845.5532637,3885846153.677902,8335230087.111642,7700464190.856674,125213217720.78891,115677658469.41292,29.768975377454286,2470128883461818.5,2264206489274099.0,0
2028,17481879580.040154,15833876949.378838,4675713742.026068,4234937994.098137,12806165838.014086,11598938955.2807,138019383558.803,125008408042.94043,29.518356164164324,2572436681557039.5,2307226412570306.5,0
2029,14854809427.916553,13190645659.819538,5178415513.720413,4598284781.252735,9676393914.19614,8592360878.566803,147695777472.99915,131149623665.76329,28.52142264012485,2678981864033769.0,2351063714409142.0,0
2030,9239329136.249186,8043392023.125829,5715957797.838782,4976085241.436124,3523371338.4104033,3067306781.689705,151219148811.40955,131645369199.10469,26.45560974375736,2789939934878319.5,2395733924982915.5,0
2031,-4619444044.186055,-3942651011.964306,6216876611.14029,5306044326.485249,-10836320655.326345,-9248695338.449554,140382828156.0832,119815392111.65308,22.58092558963212,2903214620967106.5,2439815429202601.0,0
2032,25671736955.28168,21480961081.42967,6746414534.174623,5645097887.230453,18925322421.107056,15835863194.199215,159308150577.19025,133301933891.8983,23.61375064787366,3018717504990680.0,2483244143842407.5,0
2033,17206937284.47005,14115681747.373426,7525254294.843468,6173329566.9030485,9681682989.626585,7942352180.470378,168989833566.81683,138630522662.7236,22.456361864424142,3136351130222557.5,2525955943116497.0,0
2034,2954908537.2092295,2376523720.378601,8343651067.072455,6710490164.33766,-5388742529.863226,-4333966443.959059,163601091036.9536,131578310676.35822,19.607853890557827,3256008947634718.0,2567886811772230.5,0
2035,21073750860.962196,16616508737.776745,9217110793.16585,7267628958.991299,11856640067.796347,9348879778.785446,175457731104.74997,138347223579.13666,19.03608788502851,3377575297703607.5,2608973000760586.0,0
2036,17966600581.0433,13888766614.268688,10148297649.225107,7844964157.044473,7818302931.818192,6043802457.2242155,183276034036.56818,141678335377.94644,18.059781095459154,3500925428399838.0,2649151184972299.0,0
2037,25429443377.80519,19272340025.22062,11139958203.275541,8442696097.219967,14289485174.529648,10829643928.000652,197565519211.09784,149729972729.90894,17.73485282494207,3625925550709803.0,2688358622509889.0,0
2038,20202518657.908546,15010768945.693935,12190710346.18854,9057877356.241522,8011808311.720008,5952891589.452414,205577327522.81784,152746982501.1278,16.863441233930406,3752432932877891.5,2726533314949529.5,0
