simulation,depletion_year
0,2059
1,2053
2,2057
3,2055
4,2058
5,2056
6,2053
7,2051
8,2056
9,2060
10,2051
11,2051
12,2059
13,2051
14,2055
15,2061
16,2053
17,2058
18,2058
19,2053
20,2053
21,2054
22,2054
23,2057
24,2055
25,2058
26,2051
27,2052
28,2057
29,2057
30,2058
31,2055
32,2053
33,2052
34,2052
35,2055
36,2051
37,2050
38,2054
39,2054
40,2055
41,2053
42,2055
43,2052
44,2054
45,2057
46,2051
47,2053
48,2056
49,2051
50,2055
51,2049
52,2056
53,2054
54,2054
55,2051
56,2051
57,2059
58,2054
59,2060
60,2055
61,2054
62,2053
63,2055
64,2052
65,2053
66,2052
67,2056
68,2050
69,2060
70,2053
71,2062
72,2052
73,2051
74,2059
75,2053
76,2052
77,2060
78,2056
79,2055
80,2059
81,2056
82,2053
83,2056
84,2056
85,2056
86,2052
87,2056
88,2050
89,2057
90,2050
91,2050
92,2054
93,2053
94,2053
95,2054
96,2056
97,2057
98,2059
99,2054
