year,mean_reserve,median_reserve,p5_reserve,p95_reserve,mean_balance,median_balance,p5_balance,p95_balance
2023,96240826684.60016,96192982606.40314,86607923574.66704,106105819099.42639,7190826684.600166,7142982606.403137,-2442076425.3329573,17055819099.426394
2024,104046063316.40443,104097774490.03262,89405717574.15474,118844267202.67868,7805236631.80427,7781589664.247982,-2459032897.242107,18077535067.125317
2025,111720776786.16595,111389865744.24585,92882292197.95108,131427746001.02237,7674713469.761521,7531446407.999646,-3212158303.2221313,19426397314.788757
2026,119515368607.4186,118939776173.93083,96824343644.47342,145541636904.90524,7794591821.252644,7632922922.648735,-4468373375.93138,20168284481.5832
2027,127170899852.57286,126570854815.80946,102066090079.26888,155739886791.88138,7655531245.154262,7688356617.050507,-5461597419.376679,20181614940.092106
2028,135040512316.01205,133968308163.88242,105906124547.70033,168310867240.92856,7869612463.439176,7697329015.862238,-6148354245.840353,21619729421.808346
2029,142697284500.85825,141265766214.52283,109349318918.3725,180085488286.35385,7656772184.846212,7712468064.567518,-6388220244.352903,22608032568.52684
2030,150100469274.34714,148603115406.61432,113441589384.3958,192746304688.4274,7403184773.488889,7492942145.944195,-7135734454.135702,22559564293.286495
2031,157384974850.40216,156323910475.37805,117777392885.43176,204478743963.1268,7284505576.055008,7418706031.453696,-7952441314.271749,22547909135.14975
2032,163238457259.1882,161833166825.11407,119711305659.95746,214705949281.58884,5853482408.786004,5672387041.192685,-10687257280.34892,22145274088.40995
2033,168850724981.45886,168095283671.8567,121767228538.37802,221152102357.42184,5612267722.270722,5531231120.889906,-11597323437.865402,23809007851.39388
2034,174160138294.12686,172542977495.51617,122634619688.05782,229398066275.5262,5309413312.6679945,4949426106.0366535,-12402915129.867498,24164520800.2676
2035,178255641706.42,176644316090.64117,123209735802.92209,242191947821.24063,4095503412.293109,4186930122.085014,-15016929426.180443,24675753580.76431
2036,181477333598.93057,178585730294.80624,123116912770.08478,248527891072.40103,3221691892.5105805,2856317529.679787,-14683897083.082039,22049446557.016502
2037,184061537907.54312,180588659682.3961,121503758727.66893,255262597066.89468,2584204308.6125946,1789091208.341871,-17168103384.631647,23064952052.102417
2038,185412314315.22455,182587733829.0465,119352939102.28806,262584012552.32425,1350776407.681397,1232693855.1941195,-20068980628.11288,21781914201.87336
2039,185478324754.75012,180764683170.23602,116845236668.23218,268672205862.5695,66010439.52559116,-294772874.29801875,-18954825833.442684,20526806247.35699
2040,184291402141.52197,179341338775.3008,111182053648.17989,269731178574.94275,-1186922613.2281923,-1599233816.2810931,-21695372254.10461,19712491421.583958
2041,181676852197.1141,175498693373.49072,105384740863.32845,280145860764.45636,-2614549944.4078484,-2757013004.2512712,-22166793491.14249,18654214407.354656
2042,178429984761.46674,172710394487.6703,98948072511.3765,281251544293.19586,-3246867435.647339,-3555852444.8838587,-22831728011.689575,18793914739.972954
2043,173618968234.2872,167700025630.85284,90081854539.43555,280073863955.0576,-4811016527.179593,-5530966562.469137,-22985791735.505096,15156631114.393898
2044,167049584705.1162,158847979996.09412,80837701532.26804,281662421921.74744,-6569383529.170975,-7267360644.838894,-23611733983.724663,13756171173.477755
2045,159304139430.77545,151255212686.96832,68166206879.13467,275484881379.2662,-7745445274.34078,-8280526548.045671,-25027980285.938236,10492269938.880432
2046,149397107758.55313,140080483761.80527,57070633450.4734,270410855411.0969,-9914589140.765432,-10691914750.51834,-27577387859.23468,8870298516.092512
2047,138136522932.14066,129121856583.53995,42244746833.31281,268383521482.1536,-11279314250.388523,-12251876448.011456,-26153931748.865112,5982672441.934981
2048,124413557993.14407,114257331233.51978,26402235958.10654,258684573015.15146,-13816874986.35513,-15011287193.895168,-29031329172.627487,4101113837.792759
2049,110064760132.15523,99245354402.6709,8299363863.18973,251750536422.43646,-14728979156.626047,-16172078522.485144,-26715167374.957703,1424212384.9156744
2050,95065758704.53607,82033928060.32132,0.0,241724159333.91022,-16102390310.598715,-17466794994.500797,-28151582213.99413,-1358267939.5652966
2051,80135273691.80447,62775794755.21811,0.0,227255242342.79654,-17528022837.512627,-19386842366.839634,-27543804505.667667,-2180908785.5436463
2052,65621327180.76423,43402810296.21757,0.0,213257068743.57468,-19440982582.617252,-21381835809.839775,-27698335614.021065,-6993044097.250893
2053,52248533879.53061,22971881317.542908,0.0,195267227787.9086,-20758875000.257195,-22847349997.48931,-27751470409.64903,-8787669009.813183
2054,40394488084.09301,0.0,0.0,175606319882.44492,-22451204257.51201,-23927000713.6596,-28613812090.722126,-11577590065.276978
2055,30465425615.50303,0.0,0.0,157962010895.6801,-24125970346.70224,-25033034424.397064,-28834980744.4055,-15877076852.61724
2056,22951008730.777725,0.0,0.0,136122002005.79976,-25058442453.3576,-26155300355.21071,-28152206219.8551,-17639062388.31334
2057,17092236220.982454,0.0,0.0,113951551024.62004,-26556610886.26729,-27305962876.15051,-28150394595.032948,-20200117357.58901
2058,12740549543.727968,0.0,0.0,92396168805.65681,-27720022823.90204,-28449378887.57255,-28526253814.572655,-22931121196.524715
2059,9273791331.07196,0.0,0.0,62572098449.220566,-29210051307.595264,-29589780651.830143,-29589780651.830143,-26515212386.450653
2060,6683982471.613052,0.0,0.0,33405097960.222538,-30459637264.55323,-30728880272.890556,-30728880272.890556,-29294936642.61589
2061,4795168628.788485,0.0,0.0,4041634728.163885,-31007479869.95117,-31205338743.68855,-31205338743.68855,-30695114293.851078
2062,3689916122.3745847,0.0,0.0,0.0,-31434800137.414642,-31664252880.835716,-31664252880.835716,-31664252880.835716
2063,2857955959.783583,0.0,0.0,0.0,-31981888511.945866,-32108126055.631664,-32108126055.631664,-32108126055.631664
2064,2163944438.088514,0.0,0.0,0.0,-32541683298.394722,-32539197282.197815,-32539197282.197815,-32539197282.197815
2065,1793334562.593382,0.0,0.0,0.0,-32835549056.227474,-32959626195.62267,-32959626195.62267,-32959626195.62267
2066,1449414776.8276193,0.0,0.0,0.0,-33312291102.502598,-33344880742.697975,-33344880742.697975,-33344880742.697975
2067,1173989972.2988658,0.0,0.0,0.0,-33695122508.69387,-33722833254.66849,-33722833254.66849,-33722833254.66849
2068,926570755.5992603,0.0,0.0,0.0,-34114766451.51032,-34095351232.162384,-34095351232.162384,-34095351232.162384
2069,801235973.7669604,0.0,0.0,0.0,-34417211456.29376,-34464197662.77535,-34464197662.77535,-34464197662.77535
2070,717780929.263768,0.0,0.0,0.0,-34780285876.87241,-34830995799.3813,-34830995799.3813,-34830995799.3813
2071,688432462.4887042,0.0,0.0,0.0,-34758998211.466286,-34834152201.29512,-34834152201.29512,-34834152201.29512
2072,657601552.4311645,0.0,0.0,0.0,-34750835223.20659,-34802568376.3905,-34802568376.3905,-34802568376.3905
2073,628471362.526637,0.0,0.0,0.0,-34695614943.3811,-34735956666.81021,-34735956666.81021,-34735956666.81021
2074,601574241.6798832,0.0,0.0,0.0,-34630374990.07266,-34672823516.25843,-34672823516.25843,-34672823516.25843
2075,544724809.2190797,0.0,0.0,0.0,-34607354769.865204,-34619744827.05851,-34619744827.05851,-34619744827.05851
2076,526096432.9934642,0.0,0.0,0.0,-34527632832.93149,-34578160778.262405,-34578160778.262405,-34578160778.262405
2077,441996013.52710235,0.0,0.0,0.0,-34559769998.60117,-34544759097.32947,-34544759097.32947,-34544759097.32947
2078,362868256.50064886,0.0,0.0,0.0,-34526464191.62899,-34516369172.94843,-34516369172.94843,-34516369172.94843
2079,323831807.9289749,0.0,0.0,0.0,-34475311634.43919,-34489923189.86428,-34489923189.86428,-34489923189.86428
