year,mean_reserve,median_reserve,p5_reserve,p95_reserve,mean_balance,median_balance,p5_balance,p95_balance
2023,96458291629.78043,96495267025.39445,88322313503.44041,104777269702.69315,7408291629.780422,7445267025.394452,-727686496.559597,15727269702.693144
2024,104003130988.08047,104148001153.19801,92269784031.94624,116450526718.62056,7544839358.300038,7553433516.532574,-1474542583.8928604,16733390178.959436
2025,111458929530.45747,111314164793.53152,96495557131.50893,127437035245.16763,7455798542.377009,7557983327.138161,-2548119978.175947,17058000005.985922
2026,119112184471.95409,118609402755.70636,100555949364.3486,138897596258.81992,7653254941.496608,7673800321.854196,-2712930863.1761913,18273973606.205353
2027,126320927284.4267,125558728896.51538,105439038870.88657,150762355912.01883,7208742812.472632,7377006153.490983,-4266952276.913465,18000693738.67537
2028,133718771328.68947,132443093239.97058,109642944510.30107,162523413094.42566,7397844044.26277,7296845958.450754,-3917216596.8997664,19319550174.160755
2029,140405339006.53793,139174094436.74704,112329540011.54648,173343378660.32587,6686567677.848441,6478913962.422898,-5180252931.32683,19230715429.950928
2030,146550404013.92392,146093998592.26154,115320623560.04391,181481739384.00583,6145065007.385986,5857998732.456124,-6243299629.132978,18805462927.58355
2031,152838907444.56708,151049661740.49072,116989027902.12196,193373971145.89246,6288503430.643141,6379209626.5658045,-6338928836.745359,19795703584.927147
2032,158576492883.8088,157691179371.60565,119983305742.82614,204573535289.92172,5737585439.241754,5276791405.968352,-8799407385.591692,20652482919.79696
2033,163748584744.69812,161669457424.7334,122755923899.01741,212343168191.80478,5172091860.889304,4995894003.808014,-9150144177.17524,20284953049.3136
2034,167909855798.1249,165336757916.3139,124650805120.12909,220889631954.04794,4161271053.4268036,3983549743.3357763,-10465365836.825224,19335175470.986412
2035,171353818908.34393,167788509845.84424,124471802777.57335,226954930391.24246,3443963110.2190228,3047779184.4865294,-11471266074.579815,19681896391.869343
2036,174474463688.0071,170752538801.4689,126639956355.01672,235154259434.6866,3120644779.6631756,2893094034.609075,-11580233138.500326,18261048369.38449
2037,175789592295.84247,171555072770.35315,124954872657.21054,240457466963.29913,1315128607.8353515,988018754.7400382,-13840360131.489277,17303205257.985332
2038,176496806022.29175,173531579833.47397,121986166333.80556,243889188381.01056,707213726.4493247,524283347.26090026,-14830678161.116474,17029415232.868196
2039,176459650553.93277,172624313462.7015,118660201971.97476,246299571098.38223,-37155468.35901372,52625836.939004034,-16621453715.638948,16231872790.177347
2040,175047694196.81442,171573880176.14276,115859784749.45851,249744959262.71088,-1411956357.118317,-1605716515.411757,-18439068606.095554,16309062911.844837
2041,171875217193.97974,166720735601.1477,108510500713.99734,253405888827.04388,-3172477002.8346877,-3554188583.959183,-19473116632.709473,14220823656.589071
2042,168315113117.93576,163012557755.211,101133461879.33205,255291411454.10364,-3560104076.0439982,-4112865640.3179336,-19801194003.43325,13176057394.337954
2043,162508478595.1758,157183531120.09286,91295123922.61569,254944531906.73508,-5806634522.759963,-5925566059.797252,-21052970758.896828,10569179738.812752
2044,155089042351.0433,150098911636.94708,80561189057.18736,253027389864.84186,-7419436244.132519,-7799161739.3612175,-22233810605.516888,9396900575.652914
2045,146501226409.06995,140705721772.0285,68964360990.98776,248508663954.55966,-8587815941.973329,-9120224202.740501,-22725862936.573692,6442559512.481817
2046,136170205382.49884,129511140315.70297,56135563879.3856,242393220817.03503,-10331021026.571121,-10832695461.469856,-22557932980.959667,4631459502.922168
2047,124357290737.71935,117718946181.9276,41245463448.48589,230213695508.43292,-11838124264.814287,-12464584281.993237,-24030890703.702587,1764341949.3493717
2048,110521830263.50262,103822859462.11227,25105919894.444298,217993893801.21924,-13952751403.295961,-14823005261.814686,-25475296272.809837,11052194.512143975
2049,94873216211.31595,86354221630.82578,6373467823.101207,205916269539.42593,-15970932331.997183,-16840861374.338818,-26998508406.76747,-4000251063.9435306
2050,79077190948.57147,67715158836.62028,0.0,196897049868.00226,-17001177411.488169,-18167134372.831917,-25723872205.997803,-5436593202.123957
2051,63364307020.8188,49869845340.556725,0.0,180615181239.10242,-18384468430.73708,-19789665980.835655,-26299636320.6656,-7795619391.863761
2052,48223258736.1185,28777398480.666428,0.0,162225007329.78058,-20296961971.80974,-21446006137.380466,-26667100211.881664,-11647940903.170586
2053,34996897894.74523,6727370650.926819,0.0,145394371887.87363,-21850043119.197838,-22849316422.511734,-26901373617.793297,-14716339375.729916
2054,24699311043.27637,0.0,0.0,127810314463.95425,-22874740131.345314,-23927000713.6596,-26416035364.615086,-15576007781.08127
2055,16777500815.336712,0.0,0.0,106347655199.00801,-24415940781.851696,-25033034424.397064,-26822168929.100983,-19777980912.16752
2056,11032419247.568493,0.0,0.0,80509494467.79396,-25718979930.793957,-26155300355.21071,-27001556313.458843,-21921665100.73275
2057,7046322177.852832,0.0,0.0,58177075940.97429,-26903888960.675888,-27305962876.15051,-27362821556.922924,-24150570091.61493
2058,4249062818.6946025,0.0,0.0,27894504239.325127,-28209308644.475338,-28449378887.57255,-28449378887.57255,-26723715546.951523
2059,2373048888.9773507,0.0,0.0,110903706.83885969,-29534363122.09857,-29589780651.830143,-29589780651.830143,-29588626150.92573
2060,1230861872.3156798,0.0,0.0,0.0,-30634487559.22943,-30728880272.890556,-30728880272.890556,-30728880272.890556
2061,604907039.5425104,0.0,0.0,0.0,-31159139337.444298,-31205338743.68855,-31205338743.68855,-31205338743.68855
2062,294115119.78533494,0.0,0.0,0.0,-31643956017.397038,-31664252880.835716,-31664252880.835716,-31664252880.835716
2063,147227139.2118551,0.0,0.0,0.0,-32104432619.241196,-32108126055.631664,-32108126055.631664,-32108126055.631664
2064,85234569.42885423,0.0,0.0,0.0,-32531805697.4865,-32539197282.197815,-32539197282.197815,-32539197282.197815
2065,32430928.531083334,0.0,0.0,0.0,-32953796554.335922,-32959626195.62267,-32959626195.62267,-32959626195.62267
2066,0.0,0.0,0.0,0.0,-33344815335.518,-33344880742.697975,-33344880742.697975,-33344880742.697975
2067,0.0,0.0,0.0,0.0,-33722833254.668503,-33722833254.66849,-33722833254.66849,-33722833254.66849
2068,0.0,0.0,0.0,0.0,-34095351232.16237,-34095351232.162384,-34095351232.162384,-34095351232.162384
2069,0.0,0.0,0.0,0.0,-34464197662.775345,-34464197662.77535,-34464197662.77535,-34464197662.77535
2070,0.0,0.0,0.0,0.0,-34830995799.381294,-34830995799.3813,-34830995799.3813,-34830995799.3813
2071,0.0,0.0,0.0,0.0,-34834152201.29511,-34834152201.29512,-34834152201.29512,-34834152201.29512
2072,0.0,0.0,0.0,0.0,-34802568376.3905,-34802568376.3905,-34802568376.3905,-34802568376.3905
2073,0.0,0.0,0.0,0.0,-34735956666.810196,-34735956666.81021,-34735956666.81021,-34735956666.81021
2074,0.0,0.0,0.0,0.0,-34672823516.25843,-34672823516.25843,-34672823516.25843,-34672823516.25843
2075,0.0,0.0,0.0,0.0,-34619744827.05852,-34619744827.05851,-34619744827.05851,-34619744827.05851
2076,0.0,0.0,0.0,0.0,-34578160778.2624,-34578160778.262405,-34578160778.262405,-34578160778.262405
2077,0.0,0.0,0.0,0.0,-34544759097.32947,-34544759097.32947,-34544759097.32947,-34544759097.32947
2078,0.0,0.0,0.0,0.0,-34516369172.94843,-34516369172.94843,-34516369172.94843,-34516369172.94843
2079,0.0,0.0,0.0,0.0,-34489923189.86427,-34489923189.86428,-34489923189.86428,-34489923189.86428
2080,0.0,0.0,0.0,0.0,-34462481184.650215,-34462481184.65023,-34462481184.65023,-34462481184.65023
2081,0.0,0.0,0.0,0.0,-34430521653.19153,-34430521653.19153,-34430521653.19153,-34430521653.19153
2082,0.0,0.0,0.0,0.0,-34391277952.39233,-34391277952.39232,-34391277952.39232,-34391277952.39232
2083,0.0,0.0,0.0,0.0,-34342051559.394043,-34342051559.394043,-34342051559.394043,-34342051559.394043
2084,0.0,0.0,0.0,0.0,-34271247546.02301,-34271247546.02302,-34271247546.02302,-34271247546.02302
2085,0.0,0.0,0.0,0.0,-34189771240.250736,-34189771240.250736,-34189771240.250736,-34189771240.250736
2086,0.0,0.0,0.0,0.0,-34095334535.913876,-34095334535.913868,-34095334535.913868,-34095334535.913868
2087,0.0,0.0,0.0,0.0,-33985656652.575375,-33985656652.57538,-33985656652.57538,-33985656652.57538
2088,0.0,0.0,0.0,0.0,-33858456127.166317,-33858456127.16631,-33858456127.16631,-33858456127.16631
2089,0.0,0.0,0.0,0.0,-33582125729.87213,-33582125729.872147,-33582125729.872147,-33582125729.872147
2090,0.0,0.0,0.0,0.0,-33326948559.598557,-33326948559.59855,-33326948559.59855,-33326948559.59855
2091,0.0,0.0,0.0,0.0,-33088785754.951736,-33088785754.951748,-33088785754.951748,-33088785754.951748
2092,0.0,0.0,0.0,0.0,-32865108401.44789,-32865108401.447906,-32865108401.447906,-32865108401.447906
2093,0.0,0.0,0.0,0.0,-32653956793.871456,-32653956793.871445,-32653956793.871445,-32653956793.871445
