year,mean_reserve,median_reserve,p5_reserve,p95_reserve,mean_balance,median_balance,p5_balance,p95_balance
2023,96924828528.19588,96981766306.71706,87568057613.60223,106483303485.16304,7874828528.195864,7931766306.717051,-1481942386.3977692,17433303485.16304
2024,105089755766.62587,105223465073.12878,91535848250.28969,119191289946.99722,8164927238.430004,8126926163.751364,-2498925322.917064,18706908260.264038
2025,113076723142.20187,112195126343.73853,95146844835.81479,132057395923.64197,7986967375.576012,7966755989.703853,-2971747078.733535,19238582906.767212
2026,120683233601.18048,120434826929.12946,98976418687.66031,143017234293.45154,7606510458.978613,7742250136.591126,-4483431994.451964,20170707356.50622
2027,128506561277.47865,127871163232.3097,101758644598.87248,155336956929.86044,7823327676.298159,8065353314.007917,-5096459983.131264,21018055076.85971
2028,135988622672.54503,135263850783.76761,105908177703.06787,166960390996.51257,7482061395.066369,7555458830.374054,-6339806680.506653,20968683151.394207
2029,143122640702.86774,141107931660.3824,110376861945.7896,181672862098.44385,7134018030.322723,6775574077.0301695,-8448778092.0859995,22921711901.322445
2030,149932280744.85178,147457041949.65088,112922844111.68988,192882435806.8425,6809640041.984063,6633023796.399385,-7825426813.748281,22058626183.58319
2031,156568445226.52887,153631750296.9256,117311275673.21083,203938533279.667,6636164481.677051,6578886059.631398,-9571847919.707329,22887052868.19736
2032,162516666445.58005,159090059869.7115,120085277329.90251,217529373636.7327,5948221219.0511875,5555444258.906358,-10727850294.000526,23516090556.14325
2033,168421074462.52112,165628306729.45746,121789252278.03777,222688146146.54016,5904408016.94109,5705296163.24719,-11065254827.287498,23912352468.875076
2034,174532472753.49344,171332091936.7179,124383906477.96408,235843927093.202,6111398290.972291,6006127319.999356,-11649829915.883667,25448186800.87414
2035,179000882559.3395,174581358451.92468,124693327104.58635,246255006201.22955,4468409805.84607,4183927394.7176166,-14195309527.685135,23132915122.691166
2036,183126216323.03693,177497909793.90784,124410329772.63652,255698265072.48853,4125333763.697441,3706537756.9739127,-13890085699.80517,23908881475.757896
2037,185954394044.35883,181439534710.8446,124916499078.41629,266105314470.1198,2828177721.3218527,2722410084.634218,-16148679375.302858,22709022165.543907
2038,187378303688.07608,181874910449.7215,121843479700.68806,274534703018.45496,1423909643.7173219,1475318334.3156345,-18763027275.884785,22368521954.1859
2039,187789270101.4636,180922518486.9336,118604429659.5885,283463571327.81934,410966413.387496,375414802.6302845,-20305576643.394516,20624296590.647366
2040,186843154578.6155,179557340112.26694,115704908787.46973,284445855046.60205,-946115522.848101,-686207929.8430998,-20459913718.592846,19578817414.46635
2041,184539554844.76065,177479119713.4121,107259151790.504,285759933672.67804,-2303599733.854835,-2960784739.083686,-21089539945.840225,16542478043.462051
2042,181719212221.04605,174485151327.71518,101579211388.24937,283183942986.0775,-2820342623.7145987,-3100415537.9637895,-21678086346.294872,18851361097.22285
2043,176637058460.29175,167598767914.18066,91672571813.9034,286356806661.8428,-5082153760.754308,-5243089912.554262,-24968675170.452847,16096291754.10484
2044,169690976388.30524,161822147613.53647,81738096842.04909,287783108237.2494,-6946082071.986514,-7379556485.602327,-26229631575.98315,12909793120.047647
2045,162277165583.29828,153466758610.4188,71896827757.42474,280970693412.5086,-7413810805.00697,-8154626547.799538,-25757723789.052456,14102384853.812965
2046,153034144108.07764,143847035216.24176,58646286090.37431,279304308359.3525,-9243021475.220648,-10191200496.442957,-25589558639.690556,10242308170.985739
2047,141599877981.68,131217509632.39694,46002403343.506454,267063889412.748,-11437704331.012548,-12276033764.378418,-27974612848.707275,7300351420.501248
2048,128142918569.72435,116841455268.87369,27056056961.436295,261830328834.08948,-13496731681.06272,-14854206960.08883,-28591181656.332985,5455295878.258386
2049,113327833536.30518,98666354870.08217,9580918755.738092,254502967886.29373,-15062104400.678848,-16120808449.842323,-28517950329.65483,598338387.3240672
